date,prcp_era,prcp_mswep,prcp_gsmap,prcp_chirps,t_mean,t_min,t_max,dew_mean,wind_speed,vp1,vp2,srad
2005-08-18,3.5033140801294,1.60268492176387,,2.9970292515590184,15.641146167304557,11.183827497937386,19.50555241546749,8.042495878197599,0.972568466298348,1086.8014763235428,1075.8776863539667,207.87607552083665
2005-08-19,2.387839806824,1.82387980085349,,0.9586977933379878,14.864092919996608,8.495517832404346,20.20286796024942,7.677091497949618,0.7826486397176096,1060.085795789893,1049.4030853637262,309.0974059659889
2005-08-20,0.8547897514131386,0.267514224751067,,0.9235307794212454,15.253607656136126,8.255224041344206,21.45122792592366,5.90636174947258,0.7960597622004401,938.6582292792428,929.0646128143296,349.8199452130357
2005-08-21,0.4410123558254272,0.0573435277382646,,0.1423330793000679,16.33453677994231,8.520577961744891,22.470803228537648,5.082449429955545,0.7028409554966238,886.4732150346055,877.344162901817,375.4041630172918
2005-08-22,3.0874129602819,1.87215504978663,,4.786817185139992,17.88069301253455,8.82086078068005,24.63765379395033,4.495435092299999,0.7257737660241713,850.8736380700408,842.0602624202602,383.2711876873914
2005-08-23,1.1691359516485,0.472795163584637,,1.0703893340071524,11.675191897972296,5.430520708863355,16.27575916161925,3.482126048256589,1.2382456794784422,792.386825680667,784.0898724746864,321.0136402630582
2005-08-24,0.0655676640932844,0.022848506401138,,0.0012076633237753,14.24911669157325,5.525037068196809,20.098129830916093,2.283516541863321,0.4641874729465886,727.8178788181187,720.0878816985968,396.4670342905668
2005-08-25,0.3647569467243349,0.314633712660028,,2.190392082627712,15.382253597346503,7.6597624195186995,20.914316793829528,3.8485571566114913,0.5867641766936512,813.1126851810791,804.6330423166614,295.438509502864
2005-08-26,0.1239879331528637,0.0511201991465149,,0.0,15.218112014614803,7.7469054660545,20.91403090398512,4.102399750049528,0.3736267812757012,827.7500779145174,819.1412050278111,374.39517759812617
2005-08-27,3.0653969050163,1.61219772403983,,0.2940381679144117,16.012270933905143,8.041194118850399,22.95318055543237,5.352497439448541,2.1860022276792943,903.2877524902624,894.0092477419934,362.9320465534766
2005-08-28,7.423113597320899,7.00675675675676,,12.081059583083432,11.000317253707236,7.663554571554982,14.366103380833238,5.583182432587535,2.13282869172636,917.87387781951,908.4655460355564,163.67801574157818
2005-08-29,0.5755301738307039,0.54178520625889,,1.294723611754416,10.751565987208837,4.713440238853707,15.684228622401008,3.441529732522895,0.2819923834970777,790.1196496163504,781.8426597285236,317.5806299634644
2005-08-30,0.1507563222454899,0.0538762446657184,,1.3915039912432925,13.316209272544086,4.670760305884301,18.26599081739204,3.2878411777444967,0.4915573298836651,781.5885261500545,773.3866191220615,368.36817304639567
2005-08-31,0.4016955624047246,0.133179231863442,,0.0,12.746509058742047,5.864230380576998,17.878504692500485,3.621353564512845,0.2698327008188657,800.2060177303543,791.8401821031729,354.53960204144227
2005-09-01,0.3384656355067993,0.0968172119487909,,0.0030186325749818,15.02055281688871,5.730168376508743,20.41351827790725,2.4050979560586256,0.4934320193820027,734.1480300762013,726.3625953283977,369.2162753318244
2005-09-02,0.8469195883908881,0.210348506401138,,0.0,14.252214366750875,6.71302661635184,19.91578038304732,3.092348535872361,1.316199930404287,770.8547116804602,762.7471910313807,352.42684513849264
2005-09-03,0.1099332543091021,0.0061344238975817,,0.0,14.11358844258939,6.361745493726914,20.57554405845451,1.1859606557450206,0.9331653863468016,672.8245213847596,665.5748537453348,379.1370889536532
2005-09-04,0.0106717615968458,0.0115576102418208,,0.0083129731186395,14.940573843608718,6.7369990873269785,21.01483619763696,1.1312529023137472,0.1279130398006346,670.1823894564177,662.9557424088774,379.1623492489091
2005-09-05,0.1287020581517765,0.0201813655761024,,0.0293303582637183,15.786006080104812,8.835943135565913,21.45953378513167,2.8174772778021406,0.2321346539098061,755.9831644484614,748.0062635038441,350.7106255785673
2005-09-06,0.6745336561365602,0.710881934566145,,0.089522604490566,17.46550506659014,9.734722708278696,23.31361803281294,3.209288095874115,0.6974136340460682,777.2596634551335,769.0958327534913,357.777487164549
2005-09-07,3.8203350288476,2.15291607396871,,0.2298461179114523,16.022322165298874,9.77853569438389,21.76429986992929,6.694803988270166,1.161417749123637,991.1183450590383,981.0555761056672,272.59486019774886
2005-09-08,1.0719765755357,0.336593172119488,,0.0,11.517932098808558,5.351436162972448,16.078422288938214,1.5521617258210654,1.772671110948454,690.7492252976713,683.3432469948071,312.2614160863268
2005-09-09,3.088545937145,2.42443100995733,,0.9415781925215628,9.518478708091834,4.2894874964265455,14.501137469083346,2.444793317950825,1.2638470348532862,736.2253017872899,728.4216681000469,309.35381454057364
2005-09-10,1.3427738453020002,0.708036984352774,,0.3617557466732445,9.21841653080014,3.920629627652034,13.359269692322243,1.5046984066102027,0.8634809896407425,688.4023981770806,681.0168986464219,287.261903901335
2005-09-11,1.8037850943982,0.479640825035562,,0.0066495978521792,8.909805810912928,3.4812331858415746,13.469608323409886,3.164339619007251,0.1941559671134249,774.7922197038836,766.6500857551661,273.6529523994738
2005-09-12,0.002488099975013,0.0010668563300142,,0.0,11.260492617983177,3.431182453461247,17.40158667025753,2.777232382477905,1.2041319069350216,753.8272146990877,745.8692353553505,337.54001509546674
2005-09-13,0.0010533449230117,0.0056009957325746,,0.0625254649519295,13.735779325072656,5.279786988220053,19.31889820160336,0.4653516832754008,0.7399224976240947,638.751489353499,631.7983166012251,297.70013201703
2005-09-14,2.5266712047114,1.24342105263158,,2.57700922280007,11.166769394391736,5.106212755622948,16.39659101907182,3.6251102557960166,2.4106771481533262,800.4179404856749,792.0502372637694,279.945200518281
2005-09-15,0.1888492681424539,0.0802809388335704,,0.0,8.274125581121837,2.3685073511026644,14.150881773437844,-1.506554084195045,1.562768900657857,553.1997456708083,546.9877646683709,343.9832566148133
2005-09-16,0.1432300327946853,0.0113798008534851,,0.0,9.567435578637289,2.412457923673003,14.948809145070072,-1.0846798030397622,0.4939158056021057,570.5953479617211,564.2329876284667,315.65042893923555
2005-09-17,0.14172816187133,0.0154694167852063,,0.0,9.761001384845088,2.956336853237815,15.802579282874945,-1.0616395141515227,0.9671008522656422,571.5592171688902,565.1885201423016,344.9235730795718
2005-09-18,9.810739364131049e-06,0.0009779516358463,,0.0,10.747250923126558,2.97872658263168,17.27968461323644,-0.9271757539330564,0.2578105217072025,577.2132554607642,570.7936458451231,346.7182904051843
2005-09-19,0.550532832412366,0.100906827880512,,0.4751936171221751,11.970167092565418,3.948539232548285,17.347650655365214,-0.101546814516837,0.1668358223690579,613.0306155304659,606.3007374071766,275.5154650696765
2005-09-20,1.4127307786327,0.702169274537696,,0.1298189796404245,11.046780702644014,5.357132288589639,16.240949220878804,2.6096182480717403,0.2680358111510221,744.9064089012114,737.0266836983104,274.6883300478748
2005-09-21,1.2043284633462,0.487642247510669,,0.2284609315711903,9.725599478679555,3.120359746400709,15.816904671912766,2.6593216582892296,0.3369446003688264,747.5419399552197,739.6391021438437,293.40848159258564
2005-09-22,2.860482114031,2.65007112375533,,6.239799740618068,10.88384326844539,2.678956403502525,17.020650872587908,1.701814010325279,0.3719756438427997,698.1952574891054,690.7242767399249,322.50263310248624
2005-09-23,1.5274345195354,0.968705547652916,,0.0069713796195152,5.741694786249241,0.2890894509230293,10.916002167334454,-1.220874666013856,1.841807334090123,564.9271639138464,558.6138193092215,259.262975568373
2005-09-24,0.0005305503045229,8.89046941678521e-05,,0.0035480502984626,7.192636396142632,0.1254273487173804,13.237952033363854,-1.301078090436533,0.845253409846723,561.6126674938467,555.327977695978,315.23330924445355
2005-09-25,0.9804540589827418,0.32699146514936,,0.0,9.25627416402898,1.7919322201032628,14.438600311737048,-0.4659312057454485,1.2286356483637064,596.9869572711233,590.3961500605666,264.67687529430896
2005-09-26,1.2037456452657,0.462571123755334,,0.3227828681537534,4.266383257158338,-1.9751773249076905,9.050761321882703,-3.2225204602087274,2.613605151983831,487.1949392014874,481.55250446840296,249.63780288068813
2005-09-27,0.0003920552115645,0.0003556187766714,,0.0,2.3221596442245414,-3.14267350582071,7.790439470548222,-6.100029758141488,1.025091193799652,392.08884073801545,387.2669225603023,306.18846231803195
2005-09-28,0.0004988844187416,0.0,,0.0,3.88657797529828,-2.856674576610658,9.777523017128315,-5.445456371344392,1.2256449546085817,412.1352596942658,407.14010856562186,305.2441562600122
2005-09-29,0.1513122171067596,0.0870376955903272,,0.1315244939589242,4.001681004801355,-1.719474739346765,8.648009686044816,-4.145505007386362,1.8213779321767831,454.6696202420095,449.307556205952,268.42347283030904
2005-09-30,0.0309921640953307,0.004178520625889,,0.0,3.970519354949886,-1.4167219097371913,9.51996017442525,-3.425072950559354,1.6509775113496383,479.88523852113593,474.3058162945509,272.11498523357585
